PERSON_ID|idB|DISTANCE
-150213|-35880|0.0
-150240|-222|0.0
-152699|-7638|0.0
-154294|-34384|0.0
-156569|-9411|0.0
-159005|-36222|0.0
-161489|-39609|0.0
-161523|-12195|0.0
-162711|-20061|0.0
-163312|-40476|0.0
-163454|-20422|0.0
-164238|-10655|0.0
-166699|-23413|0.0
-169415|-21165|0.0
-170235|-42589|0.0
-171716|-12052|0.0
-173817|-13796|0.0
-177947|-48920|0.0
-178102|-29954|0.0
-179268|-34733|0.0
-181888|-37254|0.0
-185041|-25456|0.0
-189115|-18087|0.0
-192729|-18432|0.0
-192878|-671|0.0
-193217|-7997|0.0
-193475|-24578|0.0
-193624|-46265|0.0
-195139|-40875|0.0
-195714|-50378|0.0
-195941|-15824|0.0
-198282|-42717|0.0
-198581|-45866|0.0
-199024|-11468|0.0
-200099|-473|0.0
-200164|-5674|0.0
-200889|-25322|0.0
-203273|-26889|0.0
-206723|-22314|0.0
-206913|-18153|0.0
-208386|-40526|0.0
-209042|-5309|0.0
-210731|-32624|0.0
-210885|-25013|0.0
-213575|-41297|0.0
-213971|-42187|0.0
-216196|-22504|0.0
-216559|-35245|0.0
-218132|-11040|0.0
-219257|-15471|0.0
-293331|-24245|0.0
-293557|-20262|0.0
-293916|-3353|0.0
-296867|-24267|0.0
-297955|-42720|0.0
-304506|-46883|0.0
-307566|-46040|0.0
-308349|-49411|0.0
-308799|-32447|0.0
-313045|-11522|0.0
-318406|-40396|0.0
-323842|-43292|0.0
-324052|-2062|0.0
-324083|-21644|0.0
-326456|-23415|0.0
-327165|-30410|0.0
-330436|-966|0.0
-332251|-5839|0.0
-333588|-34622|0.0
-335591|-12112|0.0
-335780|-29208|0.0
-336049|-2248|0.0
-337364|-31726|0.0
-337548|-32032|0.0
-338507|-44120|0.0
-340671|-696|0.0
-342295|-50364|0.0
-342683|-44570|0.0
-346187|-1287|0.0
-346753|-38394|0.0
-348930|-13061|0.0
-350202|-5757|0.0
-350547|-3573|0.0
-350969|-33924|0.0
-353492|-21909|0.0
-358180|-34730|0.0
-359581|-5708|0.0
-360497|-50055|0.0
-365523|-6583|0.0
-220410|-16217|0.0
-222117|-32050|0.0
-223067|-33473|0.0
-224326|-42887|0.0
-224937|-31745|0.0
-226398|-50046|0.0
-231758|-32263|0.0
-232554|-2498|0.0
-233159|-42137|0.0
-235234|-3526|0.0
-237727|-31730|0.0
-240663|-40661|0.0
-242462|-32485|0.0
-243682|-36374|0.0
-244471|-45276|0.0
-247566|-33774|0.0
-248461|-42189|0.0
-249266|-34235|0.0
-251941|-50519|0.0
-252899|-48426|0.0
-252930|-2527|0.0
-256714|-30013|0.0
-256996|-30275|0.0
-258895|-1600|0.0
-260052|-6491|0.0
-261388|-36578|0.0
-267638|-47339|0.0
-267726|-42361|0.0
-268297|-2504|0.0
-269513|-35956|0.0
-270065|-40672|0.0
-270127|-43103|0.0
-271786|-28552|0.0
-272688|-7354|0.0
-272953|-49895|0.0
-276071|-17756|0.0
-280641|-228|0.0
-285814|-9702|0.0
-286585|-42581|0.0
-286589|-17957|0.0
-287841|-8911|0.0
-288760|-1793|0.0
-288776|-29290|0.0
-81175|-14855|0.0
-82445|-27528|0.0
-83748|-9867|0.0
-86912|-4450|0.0
-88934|-34655|0.0
-90555|-10686|0.0
-91258|-38305|0.0
-92180|-41732|0.0
-93611|-25361|0.0
-96207|-19400|0.0
-97057|-49308|0.0
-97725|-35060|0.0
-99118|-42519|0.0
-99445|-47827|0.0
-100925|-14032|0.0
-102528|-24030|0.0
-104911|-3165|0.0
-105633|-25878|0.0
-107461|-15105|0.0
-107801|-3999|0.0
-111967|-26953|0.0
-112328|-21544|0.0
-113236|-13144|0.0
-113273|-3892|0.0
-114910|-8311|0.0
-115324|-4551|0.0
-116848|-4082|0.0
-118494|-43418|0.0
-119527|-41317|0.0
